"","YEAR","state_name","staterate_year","time_since_legalization","state_pop","time","timesq","time_leg_chunked"
"1",2001,"AK",0.086036563882977,NA,633714,0,0,NA
"2",2001,"AL",0.0593772531546956,NA,4467634,0,0,NA
"3",2001,"AR",0.098857328837336,NA,2691571,0,0,NA
"4",2001,"AZ",0.444739618449022,NA,5273477,0,0,NA
"5",2001,"CA",1.71667598517322,NA,34479458,0,0,NA
"6",2001,"CO",0.226842250212173,NA,4425687,0,0,NA
"7",2001,"CT",0.139402970725376,NA,3432835,0,0,NA
"8",2001,"DC",0.0403075331900423,NA,574504,0,0,NA
"9",2001,"DE",0.0555404037113798,NA,795699,0,0,NA
"10",2001,"FL",1.08375118311541,NA,16356966,0,0,NA
"11",2001,"GA",0.607871993454211,NA,8377038,0,0,NA
"12",2001,"HI",0.0174809507424425,NA,1225948,0,0,NA
"13",2001,"IA",0.0850196873016068,NA,2931997,0,0,NA
"14",2001,"ID",0.150829061872007,NA,1319962,0,0,NA
"15",2001,"IL",0.538248471289397,NA,12488445,0,0,NA
"16",2001,"IN",0.204995438907864,NA,612776,0,0,NA
"17",2001,"KS",0.210170797168483,NA,2702162,0,0,NA
"18",2001,"KY",0.105167849898014,NA,4068132,0,0,NA
"19",2001,"LA",0.00691155109698578,NA,4477875,0,0,NA
"20",2001,"MA",0.204503374814962,NA,6397634,0,0,NA
"21",2001,"MD",0.455409423437248,NA,5374691,0,0,NA
"22",2001,"ME",0.230774668603471,NA,1285692,0,0,NA
"23",2001,"MI",0.0557235756145657,NA,999112,0,0,NA
"24",2001,"MN",0.311844246198732,NA,4982796,0,0,NA
"25",2001,"MO",0.270432523087008,NA,5641142,0,0,NA
"26",2001,"MS",0.0954489032788138,NA,2852994,0,0,NA
"27",2001,"MT",0.0186516511677699,NA,906961,0,0,NA
"28",2001,"NC",0.7354355862025,NA,8210122,0,0,NA
"29",2001,"ND",0.0373246816635324,NA,639062,0,0,NA
"30",2001,"NE",0.0878817293441964,NA,1719836,0,0,NA
"31",2001,"NH",0.149158627873603,NA,1255517,0,0,NA
"32",2001,"NJ",0.261714855433699,NA,8492671,0,0,NA
"33",2001,"NM",0.218380567789476,NA,183169,0,0,NA
"34",2001,"NV",0.0732122801693297,NA,2098399,0,0,NA
"35",2001,"NY",0.703428831845326,NA,19082838,0,0,NA
"36",2001,"OH",0.364117955445057,NA,11387404,0,0,NA
"37",2001,"OK",0.0344208088223864,NA,34671,0,0,NA
"38",2001,"OR",0.29191948009354,NA,3467937,0,0,NA
"39",2001,"PA",0.555828410574042,NA,1229897,0,0,NA
"40",2001,"RI",0.0261670388447474,NA,1057142,0,0,NA
"41",2001,"SC",0.140719117060019,NA,4064995,0,0,NA
"42",2001,"SD",0.0158954783987072,NA,757972,0,0,NA
"43",2001,"TN",0.138821778057008,NA,5750789,0,0,NA
"44",2001,"TX",1.00666463490983,NA,21319622,0,0,NA
"45",2001,"UT",0.080877796652972,NA,2283715,0,0,NA
"46",2001,"VA",0.395496103966747,NA,7198362,0,0,NA
"47",2001,"VT",0.0276090862607248,NA,612223,0,0,NA
"48",2001,"WA",0.547246563155762,NA,5985722,0,0,NA
"49",2001,"WI",0.174873799220556,NA,5406835,0,0,NA
"50",2001,"WV",0.00441545453240888,NA,1801481,0,0,NA
"51",2001,"WY",0,NA,494657,0,0,NA
"52",2002,"AK",0.00333865292031971,NA,642337,1,1,NA
"53",2002,"AL",0.0814921013192305,NA,4480089,1,1,NA
"54",2002,"AR",0,NA,2705927,1,1,NA
"55",2002,"AZ",0.315129031489064,NA,5396255,1,1,NA
"56",2002,"CA",2.30251132195998,NA,34871843,1,1,NA
"57",2002,"CO",0.278403200955563,NA,4490406,1,1,NA
