"","YEAR","state_name","staterate_year","time_since_legalization","state_pop","time_leg_chunked"
"96",2002,"UT",0.00404181804041818,NA,2324815,NA
"97",2002,"VA",0.0250219422502194,NA,7286873,NA
"98",2002,"VT",0.0032107900321079,NA,615442,NA
"99",2002,"WA",0.0325989623259896,NA,6052349,NA
"100",2002,"WI",0.012988701129887,NA,5445162,NA
"101",2002,"WV",0.00306413803064138,NA,1805414,NA
"102",2002,"WY",0.00143985601439856,NA,500017,NA
"103",2003,"AK",0.00115395198137205,NA,648414,NA
"104",2003,"AL",0.00940475544266646,NA,4503491,NA
"105",2003,"AR",0.00455871865471473,NA,2724816,NA
"106",2003,"AZ",0.0226401073652646,NA,5510364,NA
"107",2003,"CA",0.142011900773232,NA,35253159,NA
"108",2003,"CO",0.019106187915418,NA,4528732,NA
"109",2003,"CT",0.0138043728509633,NA,3484336,NA
"110",2003,"DC",0.00547308287677515,NA,568502,NA
"111",2003,"DE",0.00270004174067994,NA,818003,NA
"112",2003,"FL",0.0622815867448072,NA,17004085,NA
"113",2003,"GA",0.0364257624225317,NA,8622793,NA
"114",2003,"HI",0.00438651495270949,NA,1251154,NA
"115",2003,"IA",0.00872436364180881,NA,2941999,NA
"116",2003,"ID",0.00399437717477366,NA,136338,NA
"117",2003,"IL",0.038257298535707,NA,12556006,NA
"118",2003,"IN",0.017416907034334,NA,6196638,NA
"119",2003,"KS",0.00781280708880283,NA,2723004,NA
"120",2003,"KY",0.0121431686604237,NA,411717,NA
"121",2003,"LA",0.0135076958208782,NA,4521042,NA
"122",2003,"MA",0.0272109925858819,0,6422565,NA
"123",2003,"MD",0.0243162857907613,NA,5496269,NA
"124",2003,"ME",0.0272512358423288,NA,1306513,NA
"125",2003,"MI",0.00510153467190515,NA,10041152,NA
"126",2003,"MN",0.0194674413337551,NA,5053572,NA
"127",2003,"MO",0.0193176989841853,NA,5709403,NA
"128",2003,"MS",0.0059251175945389,NA,2868312,NA
"129",2003,"MT",0.00289283501575102,NA,91963,NA
"130",2003,"NC",0.0261253605515011,NA,8422501,NA
"131",2003,"ND",0.000921851339538906,NA,638817,NA
"132",2003,"NE",0.00537107090113074,NA,1738643,NA
"133",2003,"NH",0.00477490917190609,NA,127984,NA
"134",2003,"NJ",0.026962981819407,NA,8601402,NA
"135",2003,"NM",0.00977536775785165,NA,1877574,NA
"136",2003,"NV",0.00634346028364945,NA,224885,NA
"137",2003,"NY",0.0736788513264365,NA,19175939,NA
"138",2003,"OH",0.0319400431632323,NA,11434788,NA
"139",2003,"OK",0.00659053516043957,NA,3504892,NA
"140",2003,"OR",0.0149087226790404,NA,3547376,NA
"141",2003,"PA",0.0413794265242367,NA,12374658,NA
"142",2003,"RI",0.00374636640829872,NA,1071342,NA
"143",2003,"SC",0.0169040394870576,NA,4150297,NA
"144",2003,"SD",0.0016312557206257,NA,763729,NA
"145",2003,"TN",0.0159812522578339,NA,5847812,NA
"146",2003,"TX",0.0608777522175906,NA,22030931,NA
"147",2003,"UT",0.00673746984095491,NA,2360137,NA
"148",2003,"VA",0.0265493185787205,NA,7366977,NA
"149",2003,"VT",0.0045811800071502,NA,617858,NA
"150",2003,"WA",0.0339297446331406,NA,6104115,NA
"151",2003,"WI",0.0179896715214384,NA,5479203,NA
"152",2003,"WV",0.00383527592835577,NA,1812295,NA
"153",2003,"WY",0.00117734922349233,NA,503453,NA
"154",2004,"AK",0.00278158200627151,NA,659286,NA
"155",2004,"AL",0.0113334671106594,NA,4530729,NA
"156",2004,"AR",0.00812188655621098,NA,2749686,NA
"157",2004,"AZ",0.0215905507587856,NA,5652404,NA
"158",2004,"CA",0.131984586632686,NA,35574576,NA
"159",2004,"CO",0.017361769337682,NA,4575013,NA
"160",2004,"CT",0.0128500211300362,NA,3496094,NA
"161",2004,"DC",0.00500647772006447,NA,567754,NA
"162",2004,"DE",0.00369891224238232,NA,830803,NA
"163",2004,"FL",0.0676253630713548,NA,17415318,NA
"164",2004,"GA",0.0288394940257944,NA,8769252,NA
"165",2004,"HI",0.00324764494881168,NA,1273569,NA
"166",2004,"IA",0.00729517967003853,NA,2953635,NA
"167",2004,"ID",0.0040170186952272,NA,1391802,NA
"168",2004,"IL",0.0413926774483794,NA,12589773,NA
"169",2004,"IN",0.0211845951401841,NA,6233007,NA
"170",2004,"KS",0.00695025610343638,NA,2734373,NA
"171",2004,"KY",0.00979841853007077,NA,4146101,NA
"172",2004,"LA",0.0123867323716778,NA,4552238,NA
"173",2004,"MA",0.0263695453759436,1,6412281,2
"174",2004,"MD",0.0209534131250353,NA,5546935,NA
"175",2004,"ME",0.0367616393209167,NA,1313688,NA
"176",2004,"MI",0.00640004290738201,NA,10055315,NA
"177",2004,"MN",0.0170445876128977,NA,5087713,NA
"178",2004,"MO",0.01473461691753,NA,5747741,NA
"179",2004,"MS",0.00763917850858009,NA,288901,NA
"180",2004,"MT",0.00204272428585564,NA,930009,NA
"181",2004,"NC",0.027443154654295,NA,8553152,NA
"182",2004,"ND",0.00181154227070674,NA,644705,NA
"183",2004,"NE",0.00528667032242493,NA,174937,NA
"184",2004,"NH",0.00473183348606759,NA,1290121,NA
"185",2004,"NJ",0.0327769861078103,NA,8634561,NA
"186",2004,"NM",0.0106861574682425,NA,1903808,NA
"187",2004,"NV",0.00775661897227573,NA,2346222,NA
"188",2004,"NY",0.0670298382003312,NA,19171567,NA
"189",2004,"OH",0.0305493162098356,NA,11452251,NA
"190",2004,"OK",0.0104845667510327,NA,3525233,NA
"191",2004,"OR",0.0202913078336488,NA,3569463,NA
"192",2004,"PA",0.0447919777991287,NA,12410722,NA
"193",2004,"RI",0.00567690556399627,NA,1074579,NA
"194",2004,"SC",0.0103051695072771,NA,4210921,NA
"195",2004,"SD",0.00159145699228499,NA,770396,NA
"196",2004,"TN",0.0230275781649511,NA,5910809,NA
"197",2004,"TX",0.0535408299804235,NA,22394023,NA
"198",2004,"UT",0.0102219439818235,NA,240158,NA
"199",2004,"VA",0.0208729617837634,NA,7475575,NA
"200",2004,"VT",0.00370168642656411,NA,61992,NA
"201",2004,"WA",0.0352071714510555,NA,6178645,NA
"202",2004,"WI",0.0191760857925705,NA,5514026,NA
"203",2004,"WV",0.00230997069536776,NA,1816438,NA
"204",2004,"WY",0.00131588803022751,NA,509106,NA
"205",2005,"AK",0.00277149232730568,NA,666946,NA
"206",2005,"AL",0.00951021025773922,NA,4569805,NA
"207",2005,"AR",0.00608476053158388,NA,2781097,NA
"208",2005,"AZ",0.0197700365763939,NA,5839077,NA
"209",2005,"CA",0.149454484738965,NA,35827943,NA
"210",2005,"CO",0.0202518083835251,NA,4631888,NA
"211",2005,"CT",0.0112155433151118,NA,3506956,NA
"212",2005,"DC",0.00463944511019008,NA,567136,NA
"213",2005,"DE",0.00210709943804884,NA,84515,NA
"214",2005,"FL",0.0702491125485033,NA,17842038,NA
"215",2005,"GA",0.0358354740582405,NA,8925922,NA
"216",2005,"HI",0.00480902182930668,NA,1292729,NA
"217",2005,"IA",0.00881972864246445,NA,2964454,NA
"218",2005,"ID",0.00272279337207219,NA,1428241,NA
"219",2005,"IL",0.0413288901334177,NA,12609903,NA
"220",2005,"IN",0.0205222615099111,NA,6278616,NA
"221",2005,"KS",0.00785618502820191,NA,2745299,NA
"222",2005,"KY",0.0110033550101659,NA,4182742,NA
"223",2005,"LA",0.00909974763505699,NA,4576628,NA
"224",2005,"MA",0.0302724880470154,2,640329,2
"225",2005,"MD",0.0206431392737942,NA,5592379,NA
"226",2005,"ME",0.0232407067609803,NA,1318787,NA
"227",2005,"MI",0.00638999862599376,NA,10051137,NA
"228",2005,"MN",0.0211188237115213,NA,5119598,NA
"229",2005,"MO",0.0172072540572317,NA,57903,NA
"230",2005,"MS",0.0051403486497345,NA,2905943,NA
"231",2005,"MT",0.00173229140759112,NA,940102,NA
"232",2005,"NC",0.0242251213560572,NA,8705407,NA
"233",2005,"ND",0.000764399672325601,NA,646089,NA
"234",2005,"NE",0.00362285441969107,NA,1761497,NA
"235",2005,"NH",0.00846666121702168,NA,1298492,NA
"236",2005,"NJ",0.0267870342510188,NA,8651974,NA
"237",2005,"NM",0.00742659067310652,NA,1932274,NA
"238",2005,"NV",0.00761355987623508,NA,2432143,NA
"239",2005,"NY",0.0691490379347469,NA,1913261,NA
"240",2005,"OH",0.0407697217724333,NA,1146332,NA
"241",2005,"OK",0.00764660559585781,NA,3548597,NA
"242",2005,"OR",0.0139800786488127,NA,3613202,NA
"243",2005,"PA",0.0368981548313712,NA,1244999,NA
"244",2005,"RI",0.00354284899323606,NA,1067916,NA
"245",2005,"SC",0.0139374670629834,NA,427015,NA
"246",2005,"SD",0.00141922669537586,NA,775493,NA
"247",2005,"TN",0.0159306457307539,NA,5991057,NA
"248",2005,"TX",0.0643182755004253,NA,22778123,NA
"249",2005,"UT",0.00440812507283103,NA,2457719,NA
"250",2005,"VA",0.0253747645492477,NA,7577105,NA
"251",2005,"VT",0.00274018585608415,NA,621215,NA
"252",2005,"WA",0.0317447618186277,NA,6257305,NA
"253",2005,"WI",0.0205109563953033,NA,5546166,NA
"254",2005,"WV",0.00418376202907675,NA,1820492,NA
"255",2005,"WY",0.000742659067310652,NA,514157,NA
"256",2006,"AK",0.000678824833419959,NA,675302,NA
"257",2006,"AL",0.0139805590692444,NA,4628981,NA
"258",2006,"AR",0.00501377640122461,NA,2821761,NA
"259",2006,"AZ",0.0197003813498406,NA,6029141,NA
"260",2006,"CA",0.139402378949285,NA,36021202,NA
"261",2006,"CO",0.0176834719763585,NA,4720423,NA
"262",2006,"CT",0.0125293370569456,NA,351746,NA
"263",2006,"DC",0.00525536318404574,NA,570681,NA
"264",2006,"DE",0.00338902022098385,NA,859268,NA
"265",2006,"FL",0.0632327884303749,NA,1816699,NA
"266",2006,"GA",0.0339029620751284,NA,9155813,NA
"267",2006,"HI",0.00394875297836522,NA,1309731,NA
"268",2006,"IA",0.00713021272396754,NA,2982644,NA
"269",2006,"ID",0.00418778778812839,NA,1468669,NA
"270",2006,"IL",0.0385900859249329,NA,12643955,NA
"271",2006,"IN",0.0209057632908883,NA,6332669,NA
"272",2006,"KS",0.0075555415669625,NA,2762931,NA
"273",2006,"KY",0.013840200551056,NA,4219239,NA
"274",2006,"LA",0.0115604379526031,NA,4302665,NA
"275",2006,"MA",0.0331263116078196,3,6410084,4
"276",2006,"MD",0.0199657865478695,NA,5627367,NA
"277",2006,"ME",0.0276821024174841,NA,1323619,NA
"278",2006,"MI",0.00732161070331527,NA,10036081,NA
